J,R,E,M,E_Num,algo,n_subtypes,mallows_temperature,kendalls_w,runtime,kendalls_tau,subtype_acc,mean_stage_healthy,runtime_cross_validation,absolute_error_n_subtypes,relative_error,correct_bool
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),4,10,SuStaIn (KDE),4,0.05323793459540555,0.24475524475524477,5.308889067173004,0.46590909090909094,0.5524052472016171,2.5753424657534247,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),5,10,BebmS,5,0.29013922276772813,0.4942657342657343,3.0660038789113364,0.35757575757575755,0.9147927241477902,0.273972602739726,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),5,10,BebmS (Blind),5,0.29013922276772813,0.4942657342657343,3.6405102094014485,0.41818181818181815,0.4985912293886572,1.2191780821917808,,1.0,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),5,10,Random Guessing,5,0.29013922276772813,0.4942657342657343,0.0,0.32727272727272727,-0.005340912567849273,5.698630136986301,,1.0,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),5,10,SuStaIn (GMM),5,0.29013922276772813,0.4942657342657343,10.973369510968526,0.4878787878787879,0.1261597143719587,10.452054794520548,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),5,10,SuStaIn (KDE),5,0.29013922276772813,0.4942657342657343,9.599341479937236,0.4,0.724859200246272,1.7534246575342465,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),6,10,BebmS,1,0.21491318528037454,1.0,1.2708201249440512,0.12121212121212122,,0.08,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),6,10,BebmS (Blind),1,0.21491318528037454,1.0,1.2886985937754314,0.19696969696969696,,1.1733333333333333,,3.0,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),6,10,Random Guessing,1,0.21491318528037454,1.0,0.0,0.5151515151515151,,5.8933333333333335,,3.0,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),6,10,SuStaIn (GMM),1,0.21491318528037454,1.0,0.8770607709884644,0.15151515151515152,,2.28,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),6,10,SuStaIn (KDE),1,0.21491318528037454,1.0,0.8001861770947775,0.30303030303030304,,2.84,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),7,10,BebmS,1,0.3488701361415508,1.0,1.1888168811798097,0.15151515151515152,,0.08,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),7,10,BebmS (Blind),1,0.3488701361415508,1.0,1.1267394423484802,0.24242424242424243,,1.1733333333333333,,5.0,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),7,10,Random Guessing,1,0.3488701361415508,1.0,0.0,0.3787878787878788,,6.373333333333333,,5.0,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),7,10,SuStaIn (GMM),1,0.3488701361415508,1.0,0.806566035747528,0.4393939393939394,,3.2266666666666666,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),7,10,SuStaIn (KDE),1,0.3488701361415508,1.0,0.6864141066869099,0.21212121212121213,,2.493333333333333,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),8,10,BebmS,3,0.21152133200874224,0.38306138306138304,2.0287197192509967,0.35353535353535354,0.21561388713688426,0.35135135135135137,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),8,10,BebmS (Blind),3,0.21152133200874224,0.38306138306138304,2.2539366682370505,0.41414141414141414,0.7452277866064722,1.445945945945946,,2.0,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),8,10,Random Guessing,3,0.21152133200874224,0.38306138306138304,0.0,0.5202020202020202,-0.0009885185647035327,5.9324324324324325,,2.0,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),8,10,SuStaIn (GMM),3,0.21152133200874224,0.38306138306138304,3.9377188483874,0.37878787878787873,0.7718078982387434,6.094594594594595,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),8,10,SuStaIn (KDE),3,0.21152133200874224,0.38306138306138304,3.753886659940084,0.4090909090909091,0.5611988835492447,1.8108108108108107,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),9,10,BebmS,3,0.15317107485547746,0.4405594405594406,1.1899434248606364,0.37373737373737376,0.755860750806612,0.1891891891891892,,,100,100
300,0.25,Exp 10: xi (Normal) & Continuous kj (Skewed) & X (Sigmoid),9,10,BebmS (Blind),3,0.15317107485547746,0.4405594405594406,1.270174296696981,0.4343434343434343,0.7384711802957253,2.3783783783783785,,1.0,100,100
